Date,Cons,Irradiacao,PV_Out,Surplus
2018-06-21 14:00:00,55.052083333333336,0.637,391.86488249999996,336.81279916666665
2018-06-21 15:00:00,57.916666666666664,0.586,360.49108499999994,302.57441833333326
2018-06-21 16:00:00,56.979166666666664,0.497,305.7407324999999,248.76156583333326
2018-06-21 17:00:00,53.541666666666664,0.369,226.9986525,173.45698583333333
2018-06-21 18:00:00,46.041666666666664,0.083,51.059317500000006,5.017650833333342
2018-06-21 19:00:00,36.09375,0.0,0.0,-36.09375
2018-06-21 20:00:00,28.854166666666668,0.0,0.0,-28.854166666666668
2018-06-21 21:00:00,24.739583333333332,0.0,0.0,-24.739583333333332
2018-06-21 22:00:00,21.510416666666668,0.0,0.0,-21.510416666666668
2018-06-21 23:00:00,20.729166666666668,0.0,0.0,-20.729166666666668
2018-06-22 00:00:00,19.635416666666668,0.0,0.0,-19.635416666666668
2018-06-22 01:00:00,18.75,0.0,0.0,-18.75
2018-06-22 02:00:00,18.125,0.0,0.0,-18.125
2018-06-22 03:00:00,17.96875,0.0,0.0,-17.96875
2018-06-22 04:00:00,17.760416666666668,0.045,27.6827625,9.922345833333331
2018-06-22 05:00:00,18.020833333333332,0.305,187.62761249999997,169.60677916666663
2018-06-22 06:00:00,18.489583333333332,0.418,257.14210499999996,238.65252166666662
2018-06-22 07:00:00,28.177083333333332,0.489,300.8193525,272.64226916666667
2018-06-22 08:00:00,36.354166666666664,0.546,335.884185,299.5300183333333
2018-06-22 09:00:00,42.8125,0.595,366.02763749999997,323.21513749999997
2018-06-22 10:00:00,48.489583333333336,0.642,394.940745,346.4511616666667
2018-06-22 11:00:00,51.614583333333336,0.67,412.16557500000005,360.55099166666673
2018-06-22 12:00:00,51.09375,0.671,412.78074749999996,361.68699749999996
2018-06-22 13:00:00,52.03125,0.667,410.32005749999996,358.28880749999996
2018-06-22 14:00:00,53.072916666666664,0.637,391.86488249999996,338.7919658333333
2018-06-22 15:00:00,54.635416666666664,0.586,360.49108499999994,305.85566833333326
2018-06-22 16:00:00,54.947916666666664,0.497,305.7407324999999,250.79281583333326
2018-06-22 17:00:00,52.65625,0.369,226.9986525,174.3424025
2018-06-22 18:00:00,45.885416666666664,0.083,51.059317500000006,5.173900833333342
2018-06-22 19:00:00,34.84375,0.0,0.0,-34.84375
2018-06-22 20:00:00,26.510416666666668,0.0,0.0,-26.510416666666668
2018-06-22 21:00:00,22.604166666666668,0.0,0.0,-22.604166666666668
2018-06-22 22:00:00,19.895833333333332,0.0,0.0,-19.895833333333332
2018-06-22 23:00:00,18.75,0.0,0.0,-18.75
2018-06-23 00:00:00,17.96875,0.0,0.0,-17.96875
2018-06-23 01:00:00,17.604166666666668,0.0,0.0,-17.604166666666668
2018-06-23 02:00:00,17.395833333333332,0.0,0.0,-17.395833333333332
2018-06-23 03:00:00,17.239583333333332,0.0,0.0,-17.239583333333332
2018-06-23 04:00:00,16.979166666666668,0.045,27.6827625,10.703595833333331
2018-06-23 05:00:00,16.770833333333332,0.305,187.62761249999997,170.85677916666663
2018-06-23 06:00:00,16.458333333333332,0.418,257.14210499999996,240.68377166666662
2018-06-23 07:00:00,22.604166666666668,0.489,300.8193525,278.2151858333333
2018-06-23 08:00:00,22.03125,0.546,335.884185,313.852935
2018-06-23 09:00:00,22.760416666666668,0.595,366.02763749999997,343.2672208333333
2018-06-23 10:00:00,23.645833333333332,0.642,394.940745,371.2949116666667
2018-06-23 11:00:00,24.427083333333332,0.67,412.16557500000005,387.73849166666673
2018-06-23 12:00:00,24.6875,0.671,412.78074749999996,388.09324749999996
2018-06-23 13:00:00,23.645833333333332,0.667,410.32005749999996,386.67422416666665
2018-06-23 14:00:00,23.28125,0.637,391.86488249999996,368.58363249999996
2018-06-23 15:00:00,21.197916666666668,0.586,360.49108499999994,339.29316833333326
2018-06-23 16:00:00,21.302083333333332,0.497,305.7407324999999,284.4386491666666
2018-06-23 17:00:00,20.9375,0.369,226.9986525,206.0611525
2018-06-23 18:00:00,19.895833333333332,0.083,51.059317500000006,31.163484166666674
2018-06-23 19:00:00,19.375,0.0,0.0,-19.375
2018-06-23 20:00:00,18.59375,0.0,0.0,-18.59375
2018-06-23 21:00:00,18.177083333333332,0.0,0.0,-18.177083333333332
2018-06-23 22:00:00,18.125,0.0,0.0,-18.125
2018-06-23 23:00:00,17.96875,0.0,0.0,-17.96875
2018-06-24 00:00:00,17.96875,0.0,0.0,-17.96875
2018-06-24 01:00:00,17.864583333333332,0.0,0.0,-17.864583333333332
2018-06-24 02:00:00,17.395833333333332,0.0,0.0,-17.395833333333332
2018-06-24 03:00:00,16.927083333333332,0.0,0.0,-16.927083333333332
2018-06-24 04:00:00,16.458333333333332,0.045,27.6827625,11.224429166666667
2018-06-24 05:00:00,16.302083333333332,0.305,187.62761249999997,171.32552916666663
2018-06-24 06:00:00,15.9375,0.418,257.14210499999996,241.20460499999996
2018-06-24 07:00:00,15.833333333333334,0.489,300.8193525,284.98601916666667
2018-06-24 08:00:00,15.989583333333334,0.546,335.884185,319.8946016666667
2018-06-24 09:00:00,16.354166666666668,0.595,366.02763749999997,349.6734708333333
2018-06-24 10:00:00,16.510416666666668,0.642,394.940745,378.4303283333333
2018-06-24 11:00:00,16.927083333333332,0.67,412.16557500000005,395.23849166666673
2018-06-24 12:00:00,17.1875,0.671,412.78074749999996,395.59324749999996
2018-06-24 13:00:00,17.03125,0.667,410.32005749999996,393.28880749999996
2018-06-24 14:00:00,17.395833333333332,0.637,391.86488249999996,374.46904916666665
